artist_popularity,followers,genres,id,name
40,18447,"['anthem worship', 'deep ccm']",43fQOvRHigfApnc4GmYYPf,Upper Room Music
26,4666,['spoken word'],6T86uN02MAjAayagSHKIpA,HeeSun Lee
52,7616,[],58BWh3yJrluDugLv0QF0eC,Lee So Ra
33,435,[],26W2arAlXmTgLeLdJ2nwSq,Jane Doe
36,891,"['anthem worship', 'ccm']",0KL1tXshbivm72a4PAWUjF,Michael Farren
18,264,[],4YtpgT3n3bJlBOKNINVXi4,Reagan Barham
38,74,[],0zNxCxEjUGAsb6ygZd27fC,Chai
48,1332,['jazz rap'],5gv2yt9ii2nJ2tu39FPigj,InI
37,43940,"['bboy', 'east coast hip hop', 'hardcore hip hop', 'hip hop']",2BnZSEAPhFsB1RIyeEgXmN,FU-Schnickens
24,1290,[],0ge8ZPlUr61ThW1sWgfBtb,Kim
21,3,[],7EhVfkEbLB64DCZv7Gnqjl,Hailey Jeong
29,25493,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap']",4trFlc6c04qfpnCGvlqFCV,Organized Konfusion
19,295,[],7IzGAGiDnAL0ivcZPquZew,Edilson Maia
32,5437,"['deep liquid bass', 'drum and bass', 'drumfunk', 'jungle', 'liquid funk', 'neurofunk']",748MGeLsgxl6GVGuDvHbsY,Jubei
38,455,[],7JGHjWlWkG5A8cB7HzQL0x,Jan Harbeck Quartet
41,608,[],7CFCc9MBYLKx0NfLeHnsQj,Blake Saint David
25,2710,[],3qx2yf9Xs1D5d9D6klJvrX,Pastor Edvaldo Oliveira
30,7082,"['grime', 'uk drill']",5QbOuUmlQQuhEY7CdX1TUj,Saskilla
46,18776,"['drum and bass', 'jump up', 'liquid funk', 'neurofunk']",6Piel9jEbV4Qb18Yw1B2dI,State of Mind
40,961,[],0tdWD3Wpf0kyUYI6zeT1w3,Walt Weiskopf
47,1433,[],6q93nJDw6NDxrbLWHTTul8,Fefi
19,34,[],6Kyg6P9sieWg9C9AHvlQw8,Márcio Werneck
66,640682,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",0Mz5XE0kb1GBnbLQm2VbcO,Mos Def
40,16,[],3xN9MVxmlCH7RwHKViDgPb,Daniel Franck
11,40,[],34OTRVwyaE8DkOrGMQa7Ah,LATENIGHTJIGGY
43,750,[],7auVoAwdrloWdyKULVOauu,MfnMelo
38,19385,['east coast hip hop'],5D7j3YOhscvrld2WzjSIpN,Phife Dawg
35,4603,"['deep dnb', 'deep liquid bass', 'neurofunk']",3W1ubrHvNSMltB1l7zo6xt,Kasra
39,3789,['german jazz'],2NxFqOk7uZCe0hxfohdWJX,Triosence
6,5,[],3FA8xLCpebKezt7fakmFm1,Bad Angel
35,51,[],7x5msB6JYdzIFNvmkMPXFs,Kxrn
